object_id,object_system,object_code
AMI:SP:AMAZON2,amiens_rt,30
AMI:SP:AMAZON2,source,AMAZON2
AMI:SP:AMBONN1,amiens_rt,1200
AMI:SP:AMBONN1,source,AMBONN1
AMI:SP:AMBONN2,amiens_rt,980
AMI:SP:AMBONN2,source,AMBONN2
AMI:SP:AMPARN1,amiens_rt,982
AMI:SP:AMPARN1,source,AMPARN1
AMI:SP:AMPARN2,amiens_rt,983
AMI:SP:AMPARN2,source,AMPARN2
AMI:SP:APAV1,amiens_rt,740
AMI:SP:APAV1,source,APAV1
AMI:SP:APAV2,amiens_rt,741
AMI:SP:APAV2,source,APAV2
AMI:SP:AQUAPN3,amiens_rt,48
AMI:SP:AQUAPN3,source,AQUAPN3
AMI:SP:AQUAPN4,amiens_rt,984
AMI:SP:AQUAPN4,source,AQUAPN4
AMI:SP:AUSSYN1,amiens_rt,657
AMI:SP:AUSSYN1,source,AUSSYN1
AMI:SP:AUSSYN2,amiens_rt,658
AMI:SP:AUSSYN2,source,AUSSYN2
AMI:SP:BALZAN1,amiens_rt,985
AMI:SP:BALZAN1,source,BALZAN1
AMI:SP:BALZAN2,amiens_rt,986
AMI:SP:BALZAN2,source,BALZAN2
AMI:SP:BAUDR1,amiens_rt,51
AMI:SP:BAUDR1,source,BAUDR1
AMI:SP:BAUDR2,amiens_rt,52
AMI:SP:BAUDR2,source,BAUDR2
AMI:SP:BEAUM1,amiens_rt,58
AMI:SP:BEAUM1,source,BEAUM1
AMI:SP:BEAUM2,amiens_rt,59
AMI:SP:BEAUM2,source,BEAUM2
AMI:SP:BEFFRON,amiens_rt,988
AMI:SP:BEFFRON,source,BEFFRON
AMI:SP:BELAIN1,amiens_rt,61
AMI:SP:BELAIN1,source,BELAIN1
AMI:SP:BELAIN2,amiens_rt,62
AMI:SP:BELAIN2,source,BELAIN2
AMI:SP:BERCH1,amiens_rt,65
AMI:SP:BERCH1,source,BERCH1
AMI:SP:BERCH2,amiens_rt,66
AMI:SP:BERCH2,source,BERCH2
AMI:SP:BERLIN1,amiens_rt,2043
AMI:SP:BERLIN1,source,BERLIN1
AMI:SP:BERLIN2,amiens_rt,2044
AMI:SP:BERLIN2,source,BERLIN2
AMI:SP:BERTAN,amiens_rt,69
AMI:SP:BERTAN,source,BERTAN
AMI:SP:BERTR1,amiens_rt,70
AMI:SP:BERTR1,source,BERTR1
AMI:SP:BERTR2,amiens_rt,71
AMI:SP:BERTR2,source,BERTR2
AMI:SP:BGEND1,amiens_rt,72
AMI:SP:BGEND1,source,BGEND1
AMI:SP:BGEND2,amiens_rt,73
AMI:SP:BGEND2,source,BGEND2
AMI:SP:BLANG1,amiens_rt,74
AMI:SP:BLANG1,source,BLANG1
AMI:SP:BLANG2,amiens_rt,75
AMI:SP:BLANG2,source,BLANG2
AMI:SP:BLSNC1,amiens_rt,76
AMI:SP:BLSNC1,source,BLSNC1
AMI:SP:BLSNC2,amiens_rt,77
AMI:SP:BLSNC2,source,BLSNC2
AMI:SP:BLTACN3,amiens_rt,981
AMI:SP:BLTACN3,source,BLTACN3
AMI:SP:BOIDI1,amiens_rt,82
AMI:SP:BOIDI1,source,BOIDI1
AMI:SP:BOIDI2,amiens_rt,83
AMI:SP:BOIDI2,source,BOIDI2
AMI:SP:BOULV1,amiens_rt,85
AMI:SP:BOULV1,source,BOULV1
AMI:SP:BOULV2,amiens_rt,86
AMI:SP:BOULV2,source,BOULV2
AMI:SP:BRAGE1,amiens_rt,87
AMI:SP:BRAGE1,source,BRAGE1
AMI:SP:BRAGE2,amiens_rt,88
AMI:SP:BRAGE2,source,BRAGE2
AMI:SP:BRANLN3,amiens_rt,63
AMI:SP:BRANLN3,source,BRANLN3
AMI:SP:BRANLN4,amiens_rt,64
AMI:SP:BRANLN4,source,BRANLN4
AMI:SP:BRETES1,amiens_rt,707
AMI:SP:BRETES1,source,BRETES1
AMI:SP:CAGNA1,amiens_rt,91
AMI:SP:CAGNA1,source,CAGNA1
AMI:SP:CAGNA2,amiens_rt,92
AMI:SP:CAGNA2,source,CAGNA2
AMI:SP:CAGNY1,amiens_rt,93
AMI:SP:CAGNY1,source,CAGNY1
AMI:SP:CAGNY2,amiens_rt,94
AMI:SP:CAGNY2,source,CAGNY2
AMI:SP:CAGRI1,amiens_rt,95
AMI:SP:CAGRI1,source,CAGRI1
AMI:SP:CAGRI2,amiens_rt,96
AMI:SP:CAGRI2,source,CAGRI2
AMI:SP:CAGZI1,amiens_rt,97
AMI:SP:CAGZI1,source,CAGZI1
AMI:SP:CAGZI2,amiens_rt,98
