stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
523,523,Paul Claudel,49.87521,2.27753,0
524,524,Paul Claudel,49.875076,2.276877,0
527,527,Parc St-Pierre,49.899445,2.311639,0
1083,1083,Parc St-Pierre,49.89941,2.312598,0
1084,1084,Parc St-Pierre,49.898834,2.312626,0
529,529,Paul Eluard,49.875465,2.282767,0
530,530,Paul Eluard,49.875366,2.282726,0
900,900,Abladène,49.881374,2.320166,0
901,901,Abladène,49.881607,2.319763,0
531,531,Petit Fort,49.907833,2.326538,0
532,532,Petit Fort,49.908222,2.326746,0
535,535,Pôle Hôtelier,49.864689,2.372204,0
536,536,Pôle Hôtelier,49.864948,2.37176,0
537,537,Picasso,49.916752,2.298213,0
538,538,Picasso,49.916889,2.298838,0
539,539,P. Corneille,49.923401,2.264874,0
540,540,P. Corneille,49.923363,2.265027,0
1085,1085,Pinceau,49.887119,2.315884,0
1086,1086,Pinceau,49.886868,2.316231,0
543,543,Pinsonnat,49.889423,2.273789,0
544,544,Pinsonnat,49.889366,2.273775,0
545,545,Petit St-Jean,49.882622,2.256275,0
546,546,Petit St-Jean,49.882122,2.255609,0
1087,1087,P. de Justice,49.893223,2.301385,0
528,528,Pôle J. Verne,49.862137,2.382883,0
550,550,Krüger,49.902344,2.295861,0
553,553,Paul Langevin,49.894627,2.340967,0
554,554,Pl. Libertés,49.892876,2.346512,0
555,555,Pl. Libertés,49.893631,2.345595,0
170,170,Pôle Licorne,49.89809,2.267162,0
556,556,Le Petit Many,49.837845,2.310337,0
557,557,Le Petit Many,49.837807,2.310421,0
1088,1088,Place du Marché,49.89576,2.293628,0
1089,1089,Pole E. Nord B,49.911827,2.30318,0
1090,1090,Pole E. Nord A,49.911888,2.303249,0
182,182,Pole E. Nord C,49.912193,2.302443,0
185,185,Pole E. Nord D,49.912273,2.302679,0
1091,1091,Poidevin,49.871632,2.354316,0
1092,1092,Poidevin,49.871616,2.354691,0
1093,1093,P. Cliniques,49.872074,2.296232,0
1094,1094,P. Cliniques,49.872211,2.295538,0
568,568,La Pommeraie,49.820599,2.318882,0
569,569,La Pommeraie,49.82074,2.318882,0
571,571,Pompiers,49.880245,2.33181,0
572,572,Pompiers,49.880054,2.331782,0
573,573,Procter Gamble,49.934822,2.270658,0
574,574,Procter Gamble,49.93494,2.270561,0
845,845,Provinciales,49.875763,2.321849,0
846,846,Provinciales,49.875729,2.321751,0
575,575,La Providence,49.879261,2.299922,0
576,576,La Providence,49.879017,2.301382,0
577,577,Pont Saint-Jean,49.876911,2.2517,0
578,578,Pont Saint-Jean,49.876328,2.250964,0
579,579,Pl. la Victoire,49.86692,2.355092,0
580,580,Pl. la Victoire,49.867054,2.355495,0
212,212,Vogel Quai C,49.897682,2.29592,0
1097,1097,Vogel Quai B,49.898472,2.296072,0
218,218,Vogel Quai E,49.897549,2.294989,0
225,225,Vogel Quai D,49.897564,2.295253,0
847,847,Quentin la Tour,49.923397,2.299445,0
848,848,Quentin la Tour,49.923279,2.298931,0
1098,1098,Quatre Chênes,49.88958,2.281585,0
1099,1099,Quatre Chênes,49.889713,2.281821,0
244,244,Quatre Lemaire,49.883057,2.274894,0
1100,1100,Quatre Lemaire,49.883156,2.275006,0
585,585,Queneuder,49.930805,2.278535,0
586,586,Queneuder,49.930599,2.278744,0
587,587,Rainneville,49.914852,2.312215,0
